CODGEO;SNHM20;SNHMC20;SNHMP20;SNHME20;SNHMO20;SNHMF20;SNHMFC20;SNHMFP20;SNHMFE20;SNHMFO20;SNHMH20;SNHMHC20;SNHMHP20;SNHMHE20;SNHMHO20;SNHM1820;SNHM2620;SNHM5020;SNHMF1820;SNHMF2620;SNHMF5020;SNHMH1820;SNHMH2620;SNHMH5020
01004;15.0131320592949;25.2219385705337;16.9503952290049;11.2592092797497;11.7726660165518;13.043694868052;21.8065799535484;14.3681300076341;11.0455183871145;10.7638041006839;16.2021966821153;26.6933450702787;18.2744083579421;11.7614112902933;12.0956723026409;10.8803146630726;15.0727111880743;17.2557471461375;10.29129681737;13.2344008764081;14.1920275105439;11.286232013768;16.1306199955321;19.2265401357582
01007;15.2613328150537;24.3916709443832;16.1790520861501;11.9170583504026;12.5202210094236;13.8558984101013;21.5325867245644;15.1602463369706;11.9513408341695;11.4625990891285;16.4064884888232;25.8322016673629;17.0702317629997;11.7573408076987;12.8816100065773;10.5440727833133;15.2634870963653;16.9619516163741;10.6184283321589;14.0345256301704;14.4189873392921;10.4872205347863;16.2291870176132;19.3243020043297
01014;14.5787088667469;27.9400650469809;16.3840557838119;12.1751413121253;11.8487870624107;12.5708625709247;20.702967877872;13.1984292260708;12.1529765717843;10.9301536017465;16.0558357792896;31.4972506276447;18.0837148184969;12.2863405979457;12.3043871016174;11.0583249275945;14.1168606649024;16.5282218768796;10.2953067719656;12.2264304337779;13.9320778040847;11.6236600369021;15.5176594693975;18.4090241722534
01024;14.6581736117104;23.8172747450459;16.3192955196139;11.9055465705966;12.1279129807912;13.0537804262439;20.1576740516404;14.9235918151557;11.414434761978;10.2820001953311;15.7367941194379;25.8489744459356;17.1220153676508;13.8980107116766;12.5255171637987;10.4980725934171;14.6279823189908;16.4044949887793;10.0311126553979;13.2688330484512;13.691904618827;10.8120155986426;15.5056634368141;18.422798167485
01025;14.9529102891173;25.8220761856099;15.3654639416375;11.6637937398858;12.4002968146212;13.4446144895189;22.2711031010221;14.233353373059;11.4109360229236;11.1286218258889;15.9545917998413;27.5194005425296;16.338718508856;12.486409857612;12.6663897664576;10.3853961933715;14.7503723935883;16.8548597611582;10.3093739328097;13.5136081875846;14.3361430479421;10.4426075245637;15.5804331432061;18.4215325471984
01027;16.100865065067;23.9304029146156;16.9093043123776;12.4524912714904;12.990450728006;14.1981294644859;21.6317756097627;15.7320700387166;11.939584230712;11.3727370728429;17.5830461624114;24.7788440292284;17.9692284311911;14.0822890629327;13.42713971646;10.7837095016761;16.2954368612953;17.6659804639093;10.1104896968425;14.4854170847792;14.6936324730642;11.1805965991545;17.6800145877034;20.3938109937105
01031;14.0386142342445;27.5240983647396;15.081495083206;11.4745739349452;11.759778160562;12.4761886046785;22.1207788918725;13.8315213586041;11.4853230627564;11.1730489309862;15.1181237830155;29.4593221230723;15.7456726312107;11.4442518653703;12.0460505456059;10.4160433218415;13.7091387033398;16.2349136429799;10.1620631648808;12.221783121515;13.7969898924883;10.5860932473041;14.6635220086047;18.2430168716395
01032;15.7160712827484;24.6802421906916;16.631047165755;12.4243954942089;12.42456287876;14.377598216056;22.4530286450034;15.1145897512029;12.1971582551444;10.7889520841155;16.7621733872493;26.2422328827708;17.6583911652993;13.1494074644342;12.9711283646779;10.7388523037154;15.4556374544963;19.0458652481172;10.6572059366725;14.3170120102857;16.372294663439;10.796743407972;16.3574130704991;21.1638003209
01033;13.2069019566549;21.61576686356;15.1994460320715;11.2618235453948;11.8518044995766;12.0208685407919;19.4543331298529;14.0603119553248;11.1452401151672;10.0805292697762;14.1090191520023;22.536423905862;16.2460139141487;11.5737278218112;12.4057454732179;10.7803801691885;13.2991005140743;14.3102069931003;10.3847199549789;12.2678690215567;12.469578804029;11.1282966985278;14.0983605208455;15.5527035612809
01034;13.5075961392066;24.2525569013509;15.2156427888192;11.0201945498117;11.3928313345605;12.4645774680747;21.1297873650356;14.59538211518;11.0068781042837;10.827880811919;14.207384293021;25.527970983202;15.6390192224154;11.0600561465289;11.5927842918117;10.3722758227566;13.4580460628542;15.0196451321101;10.1897457336752;12.5048635179874;13.452105442968;10.5078977431841;14.0721822718132;16.1087298235901
01043;20.3563408986122;30.1322733156743;17.5340850547495;12.7294503360809;13.1584963591651;18.4656338123042;27.719103271779;16.2018248150854;12.7866191359108;11.3832949447085;21.7919207325849;31.7011170441038;18.4966279675447;12.5574953399575;13.5860868484199;10.7711249248982;20.1704594751217;23.7273376539336;10.1136311167568;19.2915799783353;18.8749070379576;11.1476125549822;20.8657524642756;27.4069805861596
01049;17.5451617570096;27.8842010454032;16.6949445108819;12.1491189154807;12.5497215166468;15.4427693854885;25.1022716568698;14.8435686918716;11.9565988127745;11.4664744966226;18.9915010052378;29.2700014465197;17.9548780704013;12.7800412288566;12.8002354532019;10.5649496408974;17.3809188493033;20.661988450544;10.1260201797802;15.730586165958;16.7685896401872;10.8741203288221;18.5106493860539;23.3506591714261
01053;13.6297279981246;24.300549828016;15.0897431551513;11.1660365478301;11.1938105631268;12.7305690793135;21.9177493291524;14.1994512439201;11.002480666189;9.76810042934812;14.2595415128826;25.6196243515979;15.9464050290184;11.5259456983917;11.5438857305635;10.5313047732271;13.594967037371;15.3272432470883;10.191961291304;12.7890474972107;13.8726607823293;10.7848611369551;14.1125520302069;16.5224879604974
01071;15.2992349039926;27.1869036425387;16.160345979494;12.041882138703;13.9665898333505;13.8629147775542;22.2647916591995;15.4115719931172;11.7755103003422;11.4914170519775;16.5681611429269;31.6897478568809;16.885565237877;12.6565586402451;14.1999161969545;10.7049064674657;14.9515007417008;19.155206920977;10.4208499347787;13.8542322636745;15.8791887188609;10.9169748909103;15.9629540297081;22.0161765958154
01072;16.5208834583359;28.0209629441815;16.2955185307975;11.8299705320715;12.282920313392;14.5724936123731;24.3855677700698;14.9528712755518;11.5323106053577;10.7394163892082;18.0229293276461;29.9774899510961;17.5365487618366;12.9510307742096;12.6933153435109;10.7078008626912;15.6867437998959;19.9653763280264;10.1772624977675;14.2182581452993;16.5115495317292;11.1300511716121;16.7829555884265;22.7963232809019
01074;15.4228737211877;26.5344493433563;16.0473720564106;11.79621954077;12.2693807787922;13.2187204821579;23.0082691392043;14.3032570252348;10.9269772384003;10.4757168363557;16.8963943060592;28.0880414253464;17.3155064236096;14.3144015897151;12.7709152691882;10.7005508331167;15.28733542151;17.9085812223621;10.4241437393519;13.7014703232789;13.2018489756489;10.9299045870429;16.3309514612267;20.8989039658425
01089;14.8896683147617;24.3101984499391;16.2205896321766;11.7618522355968;12.5676352161;13.0246032026165;20.20006431368;14.8333846956049;11.6513513188724;11.3207715975342;16.1981305916135;25.5597548325885;17.3027794917139;12.2198992434043;12.9324769388919;10.7348742042022;15.0933894617495;15.8993022687546;10.7056873929636;13.295541310797;12.9398667832139;10.7493425660064;16.5092149180346;17.6163441124696
01093;14.8134962778517;24.4654800563098;15.9044904877297;11.408336912756;12.5128384262175;13.2640502266296;21.0910273554145;14.9708577621311;11.3567066166638;11.9061600632573;15.9544931151884;25.7561285167028;16.6404709428792;11.5801983210728;12.7022602328096;10.7871243189484;14.6962052263066;16.9514851929054;10.1984189453113;13.3359350344326;14.4735880166091;11.227451963762;15.6354653382456;19.0276212360932
01103;15.2074078863811;25.4698978682638;16.1630017130699;12.5903519301352;12.5015482017089;14.7191198693054;22.996701768881;14.4418771301004;13.0176064087514;10.4421095566863;15.6409220263097;27.8384639743307;17.577637722339;11.6554846558818;12.6513822713387;11.4749682873491;16.0593528241782;14.6222990358764;11.8333216141923;15.7998167916997;12.2260731883866;11.1932316242341;16.3091945722333;16.3484265928321
01109;13.6582912064045;25.0499442630893;14.383204521475;11.1707060834965;12.4241428153164;12.6312299146673;30.7113569598285;12.8231067909666;11.1328658664196;9.98816310045414;14.6927954988256;22.9506846085823;16.5590543604211;11.3083597352829;12.610913131266;10.7313860073766;14.2159095714988;14.450933116879;9.6157931435769;13.5318985188789;12.2713783061459;11.8690883066927;14.9427912844661;16.2682602254133
01130;13.9234243312343;22.2475110157166;15.8259662614445;11.7434985267371;12.2675013417218;12.8433993341312;20.4179249773588;14.3068568219652;11.4633494087162;10.9185639993365;14.6190872775456;23.1225892545878;17.0726330549148;12.8152087481933;12.4853640943653;10.3608594774885;14.3995306892646;14.1598860449024;10.0495749907594;13.1546752374123;13.2027672486336;10.561229314633;15.1888203514886;14.804533979355
01135;15.3341705675588;24.2783081643127;17.6106879622468;12.5435992609349;11.9016626842221;13.6085231848683;18.3999151917781;14.4312281410322;12.3470137951993;12.5435913091694;16.8108985471199;28.2834808410221;20.1005280489776;12.9097938657769;11.8081831575042;11.2679601039518;15.5197691965072;18.1432689861967;10.4047415869171;13.9854274586714;15.5256575605551;12.4319382139618;16.6026440802283;21.1089207142734
01138;13.9564217574374;25.0335111704361;15.3589340890511;11.3350044580095;12.9307555925012;12.3301135879249;22.2095414100096;14.9539769017794;10.9689285180257;11.2272894366892;14.9492010571475;25.9093006744178;15.5937227370212;12.2624449213278;13.4274539644489;10.5949354333918;13.7255037912194;15.4951656753507;9.61786169203435;12.6334595764515;12.8130216935423;11.3753285003141;14.3278452568519;17.2970649521161
01142;16.1998229128151;25.1076110108155;16.4979872780854;12.6645321550477;12.6840640957676;14.6516047749534;22.273370021959;15.4878685859007;12.4425234565124;10.7008155882599;17.3345713360075;26.5902710832514;17.3372460992675;13.3351257883689;13.1797176525194;10.5131449254682;16.274214192616;17.9110646160268;10.1656487438363;15.1128624674645;15.0084162753161;10.7514872674624;17.1229379728748;20.100120459314
