CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
01156,17,12,0,1,0,3,0,6,5,3
01157,93,68,17,2,0,2,19,17,50,5
01158,10,8,1,0,0,0,0,2,5,3
01159,123,85,22,4,1,9,18,18,69,9
01160,344,259,51,8,0,0,7,11,278,48
01162,5,5,0,0,0,2,1,0,1,1
01163,53,47,2,0,0,16,5,9,20,3
01165,18,12,3,1,0,0,1,6,8,3
01166,51,44,5,0,0,1,5,12,30,3
01167,12,11,0,1,0,0,1,3,5,3
01169,7,7,0,0,0,0,1,1,3,2
01170,28,19,8,0,0,0,6,8,10,4
01171,15,12,1,0,0,0,5,5,4,1
01173,201,150,24,10,1,2,11,26,127,35
01174,7,5,1,0,0,1,0,1,4,1
01175,18,14,3,0,0,1,5,1,9,2
01177,1,1,0,0,0,0,0,0,0,1
01179,37,28,3,0,1,2,3,8,19,5
01180,16,15,0,0,0,0,0,0,11,5
01181,56,29,18,4,0,0,29,6,18,3
01183,80,61,13,1,0,1,23,15,34,7
01184,20,9,2,0,0,2,1,5,9,3
01185,162,116,20,7,2,9,10,22,91,30
01187,29,20,4,0,0,3,4,1,18,3
01188,13,13,0,0,0,2,0,2,7,2
01189,16,10,2,0,0,1,4,2,7,2
01190,3,3,0,0,0,1,0,0,1,1
01191,5,5,0,0,0,1,1,0,1,2
01192,92,48,27,7,0,1,38,9,40,4
01193,7,4,1,0,0,1,0,0,4,2
01194,162,124,17,5,0,1,28,37,81,15
01195,39,26,9,1,0,2,8,8,17,4
01196,40,31,5,1,0,2,6,7,23,2
01197,6,6,0,0,0,1,0,1,2,2
01198,7,6,0,0,0,3,0,0,2,2
01199,41,26,7,2,0,1,6,8,21,5
01200,7,6,0,0,0,0,0,1,4,2
01202,173,143,18,4,1,2,13,24,112,22
01203,27,14,5,1,0,2,4,6,13,2
01204,20,17,2,0,0,3,2,1,11,3
01206,4,3,1,0,0,0,1,0,1,2
01207,11,10,1,0,0,1,0,4,5,1
01208,2,1,1,0,0,0,0,0,1,1
01209,6,3,1,0,0,1,0,2,1,2
01210,27,17,1,0,0,0,1,2,21,3
01211,35,28,1,2,0,4,3,4,19,5
01212,14,12,2,0,0,8,0,2,2,2
01213,33,21,7,1,0,2,7,5,16,3
01214,4,3,0,0,0,0,1,1,1,1
01215,2,2,0,0,0,0,1,0,0,1
01216,16,12,2,1,0,3,3,2,3,5
01219,5,5,0,0,0,2,0,0,1,2
01224,86,61,15,2,0,1,9,22,45,9
01225,4,3,0,0,0,0,0,0,3,1
01227,12,11,1,0,0,3,2,2,4,1
01228,32,22,7,1,0,2,10,5,13,2
01229,30,21,2,0,0,1,2,4,19,4
01230,11,8,2,0,0,4,1,0,4,2
01231,61,51,6,2,0,10,5,9,32,5
01232,69,56,9,1,0,6,8,9,35,11
01233,1,1,0,0,0,0,0,0,0,1
01234,3,2,1,0,0,1,0,1,0,1
01235,30,25,4,0,0,3,4,5,9,9
01236,11,10,0,0,0,2,0,1,6,2
01237,54,35,11,4,0,0,26,3,20,5
01238,71,55,8,1,0,0,7,18,44,2
01239,19,14,1,0,0,4,0,4,8,3
01240,14,13,0,0,0,0,0,3,9,2
01241,29,21,4,1,0,2,7,2,15,3
01242,3,3,0,0,0,1,0,0,1,1
01243,24,18,2,0,0,1,3,8,8,4
01244,278,222,31,8,0,0,17,29,198,34
01245,16,15,0,0,0,2,0,0,11,3
01246,47,37,6,0,0,2,3,11,23,8
01247,27,17,3,0,0,0,2,2,20,3
01248,59,44,10,0,0,5,5,13,34,2
01249,367,255,65,18,1,10,61,43,222,31
01250,27,21,2,1,0,0,0,6,18,3
01252,11,9,1,0,0,1,1,5,1,3
01254,89,67,14,2,0,2,10,19,53,5
01255,9,9,0,0,0,0,1,2,4,2
01257,10,7,2,0,0,3,1,1,3,2
01258,28,22,3,2,0,0,3,6,13,6
01259,16,13,1,0,0,3,2,2,6,3
01260,11,11,0,0,0,5,0,1,3,2
01261,16,14,2,0,0,3,0,5,6,2
01262,178,129,27,6,2,10,16,18,106,28
01263,91,63,16,2,0,1,15,13,52,10
01264,17,16,0,0,0,2,0,4,7,4
01265,143,110,15,6,1,1,20,14,94,14
01266,137,106,17,4,0,5,12,18,79,23
01267,36,28,6,1,0,4,11,4,15,2
01268,10,8,0,0,0,0,4,1,4,1
01269,114,84,14,6,0,0,14,9,70,21
01272,40,33,4,0,0,5,3,9,16,7
01273,30,23,4,2,0,3,3,7,14,3
01274,16,14,2,0,0,1,5,3,5,2
01275,120,79,30,5,0,0,18,15,81,6
01276,25,17,4,1,0,0,5,4,9,7
01277,1,1,0,0,0,0,0,1,0,0
01279,2,2,0,0,0,0,0,0,1,1
01280,5,4,0,0,0,1,0,1,2,1
01281,55,39,10,2,0,1,2,2,44,6
01282,6,4,1,1,0,1,0,1,2,2
01283,823,599,122,24,4,1,135,82,507,98
01284,21,13,5,0,0,3,5,1,8,4
01285,27,23,4,0,0,0,1,9,12,5
