CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
10253,4,3,0,0,0,1,0,2,0,1
10254,5,4,1,0,0,1,1,1,1,1
10255,7,6,1,0,0,2,1,3,0,1
10256,17,17,0,0,0,2,0,1,11,3
10257,1,1,0,0,0,0,0,0,0,1
10258,10,8,1,0,0,3,0,3,2,2
10259,5,5,0,0,0,1,1,1,1,1
10260,17,15,1,1,0,2,0,5,8,2
10261,26,18,4,0,0,7,3,2,8,6
10262,52,35,3,0,0,36,7,0,6,3
10263,5,5,0,0,0,0,0,2,2,1
10264,24,21,0,0,0,17,2,0,4,1
10265,26,17,8,1,0,1,1,6,11,7
10266,2,1,0,0,0,1,0,0,0,1
10267,19,16,2,0,0,2,1,4,9,3
10268,225,151,45,12,3,1,28,21,146,29
10269,6,5,1,0,0,1,0,1,3,1
10270,10,8,1,0,0,5,1,0,2,2
10271,11,8,1,0,0,4,1,1,3,2
10272,4,4,0,0,0,2,0,0,1,1
10273,3,3,0,0,0,2,0,0,0,1
10274,16,16,0,0,0,8,0,2,5,1
10275,15,14,0,0,0,3,0,4,6,2
10276,10,8,0,1,0,3,1,2,3,1
10278,4,3,0,0,0,1,0,1,1,1
10279,3,3,0,0,0,2,0,0,0,1
10280,10,9,0,0,0,3,0,1,4,2
10281,4,4,0,0,0,1,0,1,1,1
10282,25,20,4,0,0,4,4,3,11,3
10283,6,6,0,0,0,4,0,1,0,1
10284,6,5,0,0,0,3,0,1,1,1
10285,3,3,0,0,0,2,0,0,0,1
10286,3,2,0,0,0,2,0,0,0,1
10287,55,40,8,2,0,3,7,6,26,13
10288,4,3,0,0,0,1,0,1,1,1
10289,27,19,6,0,0,4,4,3,11,5
10290,5,4,0,0,0,4,0,0,0,1
10291,7,6,0,0,0,4,1,1,0,1
10293,3,3,0,0,0,0,1,1,0,1
10294,2,2,0,0,0,0,0,1,0,1
10295,32,27,2,0,0,13,3,1,11,4
10296,15,13,1,0,0,10,3,0,1,1
10297,267,189,47,10,2,1,17,13,218,18
10298,22,16,3,2,0,2,4,5,8,3
10299,15,12,2,1,0,6,0,3,4,2
10300,7,7,0,0,0,3,0,1,2,1
10301,10,7,1,0,0,5,0,2,2,1
10302,3,3,0,0,0,1,0,1,0,1
10303,2,2,0,0,0,1,0,0,0,1
10304,4,4,0,0,0,1,0,1,1,1
10305,3,3,0,0,0,1,0,0,1,1
10306,9,8,0,0,0,3,0,2,2,2
10307,6,6,0,0,0,1,0,0,3,2
10308,7,6,0,0,0,3,0,1,2,1
10309,4,4,0,0,0,1,0,2,0,1
10310,2,2,0,0,0,1,0,0,0,1
10312,2,2,0,0,0,1,0,0,0,1
10313,7,6,1,0,0,1,0,0,4,2
10314,11,8,2,0,0,1,1,2,3,4
10315,3,3,0,0,0,2,0,0,0,1
10316,12,10,0,1,0,6,0,0,4,2
10317,144,120,5,1,0,94,12,3,26,9
10318,3,3,0,0,0,1,0,1,0,1
10319,8,6,1,0,0,3,1,0,3,1
10320,5,5,0,0,0,0,0,2,1,2
10321,57,40,10,2,1,1,5,11,34,6
10323,394,283,69,11,4,1,28,40,255,70
10324,4,4,0,0,0,2,0,0,2,0
10325,169,101,43,11,0,0,19,8,122,20
10326,6,4,1,0,0,1,0,2,2,1
10327,4,4,0,0,0,1,0,0,2,1
10328,8,7,1,0,0,1,1,2,2,2
10329,15,10,0,2,0,2,1,3,5,4
10330,12,9,0,0,0,10,0,0,1,1
10331,18,16,1,0,0,5,4,4,3,2
10332,8,4,2,0,0,0,1,1,2,4
10333,308,220,47,11,3,1,26,28,203,50
10334,16,10,4,0,0,3,1,2,8,2
10335,7,6,0,1,0,1,2,0,0,4
10336,7,5,2,0,0,0,0,2,3,2
10337,2,2,0,0,0,0,0,0,1,1
10338,4,3,1,0,0,1,1,0,1,1
10339,10,6,2,0,0,3,0,1,5,1
10340,46,37,5,1,0,2,4,5,28,7
10341,17,14,1,1,0,2,3,4,6,2
10342,6,5,0,0,0,1,0,0,2,3
10343,177,143,20,7,0,2,13,12,133,17
10344,14,9,2,1,0,1,0,7,3,3
10345,9,9,0,0,0,2,0,0,5,2
10346,5,5,0,0,0,4,0,0,0,1
10347,6,6,0,0,0,4,0,1,0,1
10348,8,7,0,0,0,5,0,0,1,2
10349,68,53,7,2,0,5,5,19,31,8
10350,10,8,2,0,0,2,0,1,3,4
10351,12,9,2,0,0,4,1,1,4,2
10352,41,31,7,1,0,4,6,14,14,3
10353,18,16,1,0,0,3,1,5,6,3
10354,4,4,0,0,0,1,1,1,0,1
10355,4,4,0,0,0,2,0,0,1,1
10356,7,6,0,0,0,1,1,1,3,1
10357,181,132,29,5,2,2,4,8,154,13
10358,44,34,8,0,0,1,5,8,22,8
10359,9,7,2,0,0,0,1,4,2,2
10360,20,13,4,0,0,1,4,6,5,4
10361,4,4,0,0,0,0,0,2,1,1
10362,294,189,65,16,3,4,35,23,195,37
10363,32,18,13,1,0,3,4,7,15,3
10364,8,5,0,0,0,7,0,0,0,1
10365,7,7,0,0,0,3,0,1,2,1
10366,10,8,0,0,0,8,1,0,0,1
10367,10,8,1,0,0,4,0,2,2,2
10368,16,14,2,0,0,2,0,5,6,3
10369,4,4,0,0,0,2,0,0,0,2
10370,3,3,0,0,0,1,0,0,1,1
10371,2,2,0,0,0,1,0,0,0,1
10372,22,15,3,2,0,5,4,0,7,6
10373,9,8,0,0,0,0,0,1,6,2
10374,7,6,0,0,0,5,0,0,1,1
10375,11,9,1,0,0,2,1,3,3,2
10376,4,4,0,0,0,1,0,0,2,1
10377,4,2,0,0,0,3,0,0,0,1
10378,1,1,0,0,0,0,0,0,0,1
10379,16,10,3,1,0,0,3,1,10,2
10380,6,4,2,0,0,1,1,1,2,1
10381,51,37,8,1,1,5,12,12,18,4
10382,28,21,4,1,0,1,7,6,11,3
10383,6,4,0,0,0,4,0,0,1,1
10384,6,6,0,0,0,2,0,1,1,2
10386,8,7,1,0,0,3,1,1,2,1
10387,2089,1496,337,81,20,8,92,96,1516,377
10388,1,1,0,0,0,0,0,0,0,1
10389,4,3,0,0,0,2,0,1,0,1
10390,21,18,0,1,0,16,2,1,1,1
10391,5,3,2,0,0,1,0,2,1,1
10392,10,9,1,0,0,2,1,2,3,2
10393,4,3,0,0,0,2,0,0,1,1
10394,4,3,1,0,0,2,0,0,1,1
10395,9,8,0,0,0,3,0,2,1,3
10396,6,5,0,0,0,0,0,1,3,2
10397,3,2,0,0,0,1,0,1,0,1
10398,5,5,0,0,0,3,0,1,0,1
10399,21,15,5,0,0,1,6,4,7,3
10400,3,3,0,0,0,1,0,1,0,1
10401,83,57,16,5,0,3,7,10,48,15
10402,4,3,1,0,0,1,0,0,2,1
10403,2,2,0,0,0,0,0,1,0,1
10404,9,6,0,0,0,8,0,0,0,1
10405,2,1,1,0,0,1,0,0,0,1
10406,33,28,3,0,0,1,3,10,14,5
10408,8,6,0,0,0,4,0,0,3,1
10409,13,9,0,0,0,2,0,5,5,1
10410,4,3,0,0,0,1,0,0,2,1
10411,1,1,0,0,0,0,0,0,0,1
10412,31,18,9,1,0,0,0,6,21,4
10414,5,4,1,0,0,3,0,1,0,1
10416,9,8,1,0,0,2,0,2,2,3
10417,5,4,0,0,0,0,0,2,2,1
10418,6,4,0,0,0,2,0,0,3,1
10419,18,15,3,0,0,3,1,4,6,4
10420,64,46,9,2,0,18,6,2,27,11
10421,4,4,0,0,0,1,1,1,0,1
10422,3,3,0,0,0,0,0,2,0,1
10423,8,8,0,0,0,4,0,1,2,1
10424,2,2,0,0,0,0,0,0,1,1
10425,5,4,0,0,0,1,0,2,1,1
10426,22,17,2,3,0,0,5,2,10,5
10427,31,25,2,0,0,26,2,1,1,1
10428,4,4,0,0,0,1,0,1,1,1
10429,10,7,0,1,1,1,2,2,4,1
10430,10,6,1,0,0,6,0,0,3,1
10431,2,2,0,0,0,1,0,0,0,1
10432,5,3,0,0,0,3,0,0,1,1
10433,7,5,0,0,0,4,0,0,1,2
10434,2,2,0,0,0,0,0,1,0,1
10435,3,3,0,0,0,1,0,0,1,1
10436,7,3,3,0,0,3,1,1,1,1
10437,16,8,5,0,0,3,6,3,2,2
10438,35,25,0,0,0,28,2,1,4,0
10439,10,9,0,0,0,9,0,0,0,1
10440,22,17,0,0,0,17,1,0,3,1
10441,3,3,0,0,0,0,0,1,1,1
10442,16,13,2,0,0,1,1,3,9,2
10443,1,1,0,0,0,0,0,0,0,1
10444,9,8,1,0,0,0,1,1,6,1
10445,5,5,0,0,0,4,0,0,0,1
11001,22,16,2,0,0,11,2,3,4,2
11002,3,3,0,0,0,0,1,0,1,1
11003,6,5,1,0,0,1,0,3,0,2
11004,17,14,0,1,0,9,2,0,2,4
11005,18,14,1,0,0,3,1,2,8,4
11006,3,2,0,0,0,2,0,0,0,1
11007,2,2,0,0,0,1,0,0,0,1
11008,12,7,2,0,0,3,0,0,6,3
11009,34,19,7,1,0,4,3,5,17,5
11010,8,8,0,0,0,3,0,0,2,3
11011,10,8,0,0,0,3,0,1,4,2
11012,49,36,7,0,0,6,6,11,21,5
11013,16,7,3,0,0,3,0,2,9,2
11014,21,15,1,0,0,3,2,3,11,2
11015,10,8,1,0,0,3,1,0,4,2
11016,7,6,0,0,0,5,0,1,0,1
11017,1,1,0,0,0,0,0,0,0,1
11018,36,24,7,1,0,11,6,5,11,3
11019,2,2,0,0,0,1,0,0,0,1
11020,2,1,0,0,0,0,0,0,1,1
11021,25,20,1,0,0,1,2,4,14,4
11022,32,25,4,0,0,13,2,2,12,3
11023,19,13,4,1,0,7,1,1,6,4
11024,36,27,5,0,0,3,0,5,25,3
11025,7,6,1,0,0,3,1,1,0,2
11026,2,2,0,0,0,0,1,0,0,1
11027,17,14,2,0,0,4,0,3,8,2
11028,22,18,1,0,0,0,3,1,13,5
11029,2,2,0,0,0,0,0,0,0,2
11030,8,7,0,0,0,3,0,1,3,1
11031,2,2,0,0,0,0,1,0,0,1
11032,5,4,0,0,0,2,0,0,1,2
11033,35,25,4,1,0,6,2,4,19,4
11034,26,21,2,0,0,1,1,4,13,7
11035,7,6,0,0,0,0,1,1,3,2
11036,7,7,0,0,0,3,0,2,1,1
11037,11,7,3,0,0,2,0,3,5,1
11038,1,1,0,0,0,0,0,0,0,1
11039,2,2,0,0,0,0,0,0,1,1
11040,36,26,2,1,0,9,3,5,16,3
11041,31,20,6,0,0,6,3,2,17,3
11042,8,6,0,0,0,2,0,2,2,2
11043,1,1,0,0,0,0,0,0,0,1
11044,2,1,0,0,0,1,0,0,0,1
11045,7,6,0,0,0,2,1,1,0,3
11046,1,1,0,0,0,0,0,0,0,1
11047,1,1,0,0,0,0,0,0,0,1
11048,15,11,3,0,0,5,0,4,3,3
11049,127,96,17,7,0,7,15,12,75,18
11051,5,4,0,0,0,2,0,0,1,2
11052,9,8,0,0,0,0,2,1,4,2
11053,9,7,2,0,0,3,0,2,2,2
11054,4,4,0,0,0,1,0,0,2,1
11055,9,5,0,0,0,0,1,0,6,2
11056,6,4,1,0,0,0,1,0,2,3
11057,1,1,0,0,0,0,0,0,0,1
11058,4,2,0,0,0,2,0,0,1,1
11059,2,2,0,0,0,0,0,1,0,1
11060,3,2,0,0,0,1,0,0,1,1
11061,10,10,0,0,0,4,0,1,2,3
11062,1,1,0,0,0,0,0,0,0,1
11063,21,15,2,0,0,2,5,6,6,2
11064,13,9,0,0,0,3,2,1,5,2
11065,4,4,0,0,0,2,0,0,1,1
11066,6,4,0,0,0,0,1,0,4,1
11067,44,33,5,0,0,10,8,7,16,3
11068,41,26,10,1,0,3,3,5,18,12
11069,2365,1686,392,79,17,21,120,178,1705,341
11070,7,7,0,0,0,3,0,1,1,2
11071,8,4,1,0,0,5,1,0,0,2
11072,6,6,0,0,0,0,0,3,2,1
11073,3,3,0,0,0,0,0,0,2,1
11074,4,4,0,0,0,1,0,1,0,2
11075,2,1,0,1,0,0,0,0,1,1
11076,559,410,83,21,4,15,42,45,371,86
11077,7,6,1,0,0,1,1,0,1,4
11078,4,4,0,0,0,1,0,0,1,2
11079,5,5,0,0,0,0,0,2,1,2
11080,4,4,0,0,0,1,0,1,0,2
11081,34,25,2,1,0,4,4,4,16,6
11082,1,1,0,0,0,0,0,0,0,1
11083,2,1,0,0,0,0,0,0,1,1
11084,14,10,1,0,0,5,0,2,4,3
11085,18,12,2,0,0,6,1,1,8,2
11086,15,13,1,0,0,3,1,1,6,4
11087,2,2,0,0,0,0,1,0,0,1
11088,25,18,2,0,0,1,1,5,15,3
11089,11,10,1,0,0,2,1,0,3,5
11090,24,21,1,0,0,6,1,5,9,3
11091,34,25,5,2,0,0,4,4,17,9
11092,2,2,0,0,0,0,0,0,1,1
11093,1,1,0,0,0,0,0,0,0,1
11094,1,1,0,0,0,0,0,0,0,1
11095,3,3,0,0,0,0,0,2,0,1
11096,3,2,0,0,0,0,0,1,1,1
11098,18,13,3,0,0,1,2,6,5,4
11099,49,40,5,1,0,4,4,12,20,9
11100,2,2,0,0,0,1,0,0,0,1
11101,2,2,0,0,0,0,0,1,0,1
11102,11,10,0,0,0,1,2,2,4,2
11103,54,45,3,1,0,0,7,1,37,9
11104,3,3,0,0,0,0,2,0,0,1
11105,20,14,5,0,0,4,3,5,6,2
11106,143,116,14,3,0,9,9,29,82,14
11107,1,1,0,0,0,0,0,0,0,1
11108,4,3,0,0,0,2,0,0,1,1
11109,1,0,0,0,0,0,1,0,0,0
11110,2,1,0,0,0,0,0,0,1,1
11111,15,11,3,0,0,4,0,2,7,2
11112,2,1,0,0,0,0,0,0,1,1
11113,11,7,2,0,0,2,1,0,7,1
11114,2,2,0,0,0,0,0,0,1,1
11115,20,16,3,1,0,1,2,1,10,6
11116,91,67,14,3,0,4,6,22,45,14
11117,2,2,0,0,0,0,0,1,0,1
11118,1,1,0,0,0,0,0,0,0,1
11119,4,4,0,0,0,1,0,0,0,3
11120,11,8,0,0,0,5,1,0,3,2
11121,3,2,1,0,0,2,0,0,0,1
11122,22,18,2,0,0,9,2,3,6,2
11123,11,5,1,0,0,0,0,1,7,3
11124,29,18,6,0,0,3,1,4,8,13
11125,9,7,1,0,0,5,1,0,2,1
11126,8,7,1,0,0,4,0,2,0,2
11127,4,3,0,0,0,3,0,0,0,1
11128,8,6,0,0,0,1,0,3,3,1
11129,62,50,6,1,0,1,6,10,34,11
11130,12,10,0,0,0,2,1,0,6,3
11131,10,7,0,0,0,3,1,3,1,2
11132,43,32,3,0,0,8,3,4,25,3
11133,2,2,0,0,0,1,0,0,0,1
11134,3,3,0,0,0,1,1,0,0,1
11135,2,1,0,0,0,1,0,0,0,1
11136,22,17,2,1,0,7,1,1,8,5
11137,1,1,0,0,0,0,0,0,0,1
11138,21,15,4,0,0,4,5,6,4,2
11139,3,3,0,0,0,2,0,0,0,1
11140,31,26,2,0,0,4,2,4,15,6
11141,3,3,0,0,0,2,0,0,0,1
11142,6,5,0,0,0,0,0,2,1,3
11143,1,0,0,0,0,0,0,0,1,0
11144,36,26,2,0,0,7,4,4,19,2
11145,162,100,3,1,0,15,4,10,125,8
11146,12,8,1,0,0,4,0,1,4,3
11147,1,1,0,0,0,0,0,0,0,1
11148,13,9,2,0,0,3,0,3,5,2
11149,5,5,0,0,0,4,0,0,0,1
11150,9,6,1,0,0,1,0,1,5,2
11151,5,5,0,0,0,3,0,1,0,1
11152,3,1,1,0,0,1,0,0,1,1
11153,8,7,0,1,0,3,1,1,2,1
11154,2,2,0,0,0,0,0,1,0,1
11155,4,3,0,0,0,1,1,0,1,1
11156,3,3,0,0,0,1,0,0,1,1
11157,10,6,0,0,0,4,1,0,3,2
11158,8,8,0,0,0,6,0,0,0,2
11159,6,5,0,0,0,3,0,0,1,2
11160,3,3,0,0,0,1,0,0,0,2
11161,8,8,0,0,0,6,0,0,0,2
11162,3,3,0,0,0,0,0,0,0,3
11163,2,1,0,0,0,0,0,0,1,1
11164,44,32,4,2,0,5,4,5,24,6
11165,2,2,0,0,0,0,0,1,0,1
11166,4,4,0,0,0,1,0,0,2,1
11167,5,5,0,0,0,2,0,2,0,1
11168,3,3,0,0,0,1,0,1,0,1
11169,2,2,0,0,0,1,0,0,0,1
11170,310,184,14,1,0,5,16,13,268,8
11172,33,24,3,0,0,6,1,4,19,3
11173,1,1,0,0,0,0,0,0,0,1
11174,3,2,0,1,0,0,0,0,1,2
11175,6,6,0,0,0,1,0,3,0,2
11176,1,1,0,0,0,0,0,0,0,1
11177,1,1,0,0,0,0,0,0,0,1
11178,27,21,2,1,0,3,2,5,11,6
11179,4,3,0,0,0,2,0,0,1,1
11180,1,1,0,0,0,0,0,0,0,1
11181,7,6,1,0,0,1,0,1,3,2
11182,3,2,0,0,0,0,0,1,1,1
11183,9,8,0,0,0,2,1,1,3,2
11184,3,3,0,0,0,1,0,0,1,1
11185,32,20,3,0,0,4,1,0,23,4
11186,1,1,0,0,0,0,0,0,0,1
11187,1,1,0,0,0,0,0,0,0,1
11188,46,36,2,0,0,7,1,8,27,3
11189,2,2,0,0,0,0,0,1,0,1
11190,30,20,5,1,0,7,4,3,11,5
11191,4,3,1,0,0,0,0,0,2,2
11192,9,7,1,1,0,1,2,3,1,2
11193,9,6,1,0,0,4,0,2,1,2
11194,7,6,0,0,0,0,2,0,3,2
11195,5,5,0,0,0,0,0,2,2,1
11196,6,3,0,0,0,1,0,0,3,2
11197,12,9,1,0,0,2,1,2,5,2
11198,31,26,2,0,0,11,1,1,16,2
11199,16,14,1,0,0,3,0,0,8,5
11200,3,3,0,0,0,0,0,0,1,2
11201,19,16,3,0,0,3,1,3,8,4
11202,314,192,15,3,0,21,16,8,254,15
11203,470,333,82,22,1,15,33,44,313,65
11204,1,1,0,0,0,0,0,0,0,1
11205,4,4,0,0,0,1,0,1,1,1
11206,472,360,55,18,4,7,34,37,307,87
11207,5,5,0,0,0,1,0,1,1,2
11208,2,2,0,0,0,0,0,1,0,1
11209,14,8,3,0,0,2,3,2,5,2
11210,19,12,5,0,0,6,0,3,7,3
11211,3,3,0,0,0,0,0,2,0,1
11212,10,10,0,0,0,3,2,0,3,2
11213,1,1,0,0,0,0,0,0,0,1
11214,14,10,2,0,0,4,1,2,4,3
11215,18,15,3,0,0,3,1,8,4,2
11216,13,9,0,0,0,5,1,0,5,2
11217,16,12,2,0,0,0,1,1,11,3
11218,3,3,0,0,0,2,0,0,0,1
11219,2,1,0,0,0,0,0,0,1,1
11220,11,7,2,0,0,2,0,2,5,2
11221,6,6,0,0,0,2,0,0,2,2
11222,3,2,0,0,0,0,0,0,1,2
11223,1,1,0,0,0,0,0,0,0,1
11224,2,2,0,0,0,0,0,0,1,1
11225,15,8,4,1,0,2,4,0,7,2
11226,2,2,0,0,0,1,0,0,0,1
11227,2,2,0,0,0,1,0,0,0,1
11228,6,6,0,0,0,3,0,0,1,2
11229,2,1,0,0,0,1,0,0,0,1
11230,2,1,0,0,0,0,0,1,0,1
11231,5,5,0,0,0,4,0,0,0,1
11232,2,2,0,0,0,0,1,0,0,1
11233,19,11,2,0,0,3,0,4,10,2
11234,5,4,1,0,0,2,1,1,0,1
11235,4,3,0,0,0,1,0,1,0,2
11236,6,6,0,0,0,3,0,1,1,1
11238,2,1,0,0,0,1,0,0,0,1
11239,3,3,0,0,0,1,0,0,0,2
11240,9,9,0,0,0,0,2,1,4,2
11241,11,11,0,0,0,4,1,1,3,2
11242,4,3,0,0,0,1,0,0,2,1
11243,13,10,1,0,0,2,1,1,7,2
11244,2,1,0,0,0,0,0,0,1,1
11245,2,1,0,0,0,1,0,0,0,1
11246,2,2,0,0,0,1,0,0,0,1
11247,1,1,0,0,0,0,0,0,0,1
11248,3,2,1,0,0,1,0,0,1,1
11249,1,1,0,0,0,0,0,0,0,1
11250,1,1,0,0,0,0,0,0,0,1
11251,26,21,1,0,0,13,1,0,7,5
11252,3,3,0,0,0,1,0,0,0,2
11253,29,23,2,0,0,5,0,3,15,6
11254,56,44,5,1,0,15,6,9,19,7
11255,124,79,29,6,0,3,15,37,62,7
11256,10,6,2,0,0,1,1,0,6,2
11257,7,6,1,0,0,2,0,0,2,3
11258,28,22,1,0,0,5,1,9,10,3
11259,9,6,2,0,0,2,1,1,3,2
11260,4,3,1,0,0,0,0,0,1,3
11261,14,11,1,0,0,1,2,2,5,4
11262,2576,1839,392,78,9,48,125,229,1886,288
11263,7,5,0,0,0,0,0,3,2,2
11264,29,19,4,1,0,5,2,4,16,2
11265,1,1,0,0,0,0,0,0,0,1
11266,205,125,25,7,1,2,9,12,163,19
11267,32,23,6,0,0,4,5,4,13,6
11268,4,4,0,0,0,3,0,0,0,1
11269,54,48,2,1,0,12,3,9,24,6
11270,2,1,0,0,0,1,0,0,0,1
11271,1,1,0,0,0,0,0,0,0,1
11272,39,33,3,0,0,1,2,12,19,5
11273,13,8,0,0,0,4,1,0,6,2
11274,14,12,1,0,0,9,1,1,1,2
11275,6,5,0,0,0,3,1,0,0,2
11276,14,12,1,0,0,3,0,3,6,2
11277,2,2,0,0,0,1,0,0,0,1
11278,2,1,0,0,0,0,0,0,1,1
11279,58,45,5,5,0,13,2,6,24,13
11280,30,25,4,0,0,10,2,4,10,4
11281,25,21,3,0,0,5,4,3,11,2
11282,2,1,0,0,0,1,0,0,0,1
11283,1,1,0,0,0,0,0,0,0,1
11284,8,6,2,0,0,2,1,0,2,3
11285,28,24,1,0,0,7,1,1,15,4
11286,36,29,5,0,0,7,1,3,20,5
11287,0,0,0,0,0,0,0,0,0,0
11288,22,15,5,0,0,4,3,4,7,4
11289,30,28,2,0,0,7,1,4,16,2
11290,6,4,1,0,0,4,0,0,1,1
11291,7,4,1,1,0,3,0,0,3,1
11292,6,5,0,0,0,2,0,0,2,2
11293,21,15,4,0,0,3,2,7,6,3
11294,2,1,0,0,0,1,0,0,0,1
11295,28,23,3,0,0,5,3,4,12,4
11296,10,7,0,0,0,3,2,0,3,2
11297,5,4,0,0,0,1,0,1,2,1
11299,15,14,1,0,0,1,0,3,9,2
11300,4,4,0,0,0,1,0,1,0,2
11301,33,24,5,0,0,12,4,3,9,5
11302,3,3,0,0,0,0,0,0,1,2
11303,12,7,1,0,0,0,1,2,7,2
11304,147,117,12,5,0,4,12,15,92,24
11305,1,1,0,0,0,0,0,0,0,1
11306,3,2,0,0,0,0,0,0,2,1
11307,7,6,0,0,0,3,1,0,2,1
11308,4,4,0,0,0,0,0,1,2,1
11309,7,5,0,0,0,0,0,0,6,1
11310,11,7,2,0,0,0,0,0,7,4
11311,14,12,1,1,0,6,0,1,4,3
11312,4,4,0,0,0,2,0,0,0,2
11313,3,3,0,0,0,1,0,1,0,1
11314,3,2,0,0,0,0,0,0,2,1
11315,67,47,11,1,0,12,2,14,27,12
11316,3,2,0,0,0,0,0,0,1,2
11317,4,4,0,0,0,0,1,1,1,1
11318,1,1,0,0,0,0,0,0,0,1
11319,3,2,0,0,0,0,0,0,2,1
11320,10,8,0,0,0,1,1,1,5,2
11321,2,1,0,0,0,0,0,0,1,1
11322,25,19,1,0,0,4,0,4,14,3
11323,14,12,1,0,0,8,1,1,2,2
11324,23,19,0,0,0,8,0,2,10,3
11325,10,9,1,0,0,1,2,2,3,2
11326,2,2,0,0,0,0,0,0,1,1
11327,10,6,3,0,0,2,0,2,3,3
11328,13,10,1,0,0,5,2,1,3,2
11330,13,11,0,0,0,3,0,0,8,2
11331,2,2,0,0,0,1,0,0,0,1
11332,25,21,2,0,0,8,1,6,6,4
11333,5,5,0,0,0,2,0,1,0,2
11334,5,4,0,0,0,2,0,0,1,2
11335,2,1,1,0,0,0,1,0,0,1
11336,6,6,0,0,0,0,1,0,2,3
11337,9,6,2,0,0,3,0,2,2,2
11338,1,1,0,0,0,0,0,0,0,1
11339,12,11,1,0,0,2,0,3,4,3
11340,7,7,0,0,0,4,0,0,1,2
11341,3,2,0,0,0,0,1,0,1,1
11342,6,5,1,0,0,3,0,0,1,2
11343,1,1,0,0,0,0,0,0,0,1
11344,22,15,2,0,0,6,1,4,8,3
11345,4,2,0,0,0,3,0,0,0,1
11346,3,3,0,0,0,0,0,0,2,1
11347,1,1,0,0,0,0,0,0,0,1
11348,2,2,0,0,0,1,0,0,0,1
11350,1,1,0,0,0,0,0,0,0,1
11351,34,28,4,0,0,10,3,2,15,4
11352,1,1,0,0,0,0,0,0,0,1
11353,51,39,5,1,0,2,1,7,35,6
11354,1,1,0,0,0,0,0,0,0,1
11355,15,13,2,0,0,3,4,3,2,3
11356,23,19,2,1,0,5,5,1,9,3
11357,6,4,0,0,0,1,0,1,3,1
11358,3,2,0,0,0,0,0,0,2,1
11359,7,6,0,0,0,1,1,2,2,1
11360,41,31,5,1,0,3,1,12,21,4
11361,27,20,4,1,0,6,4,3,9,5
11362,7,6,1,0,0,1,1,2,1,2
11363,4,3,0,0,0,1,0,0,2,1
11364,4,3,1,0,0,2,0,0,1,1
11365,3,3,0,0,0,1,0,1,0,1
11366,10,9,0,0,0,2,0,3,2,3
11367,28,18,2,2,0,4,1,0,16,7
11368,2,2,0,0,0,1,0,0,0,1
11369,68,49,9,1,0,13,6,10,30,9
11370,57,41,8,1,0,10,4,10,24,9
11371,24,19,3,0,1,4,2,4,10,4
11372,6,5,0,0,0,2,0,0,2,2
11373,2,2,0,0,0,0,0,0,0,2
11374,1,1,0,0,0,0,0,0,0,1
11375,1,1,0,0,0,0,0,0,0,1
11376,2,2,0,0,0,1,0,0,0,1
11377,3,3,0,0,0,1,0,0,1,1
11378,9,7,0,0,0,2,0,0,4,3
11379,146,115,14,4,0,5,6,19,103,13
11380,3,2,0,0,0,1,0,0,1,1
11381,1,1,0,0,0,0,0,0,0,1
11382,6,3,0,1,0,0,0,0,3,3
11383,6,5,0,0,0,1,0,3,0,2
11384,3,2,0,0,0,0,1,0,1,1
11385,8,6,0,0,0,2,0,1,2,3
11386,21,14,2,1,0,10,2,1,5,3
11387,2,2,0,0,0,0,0,0,1,1
11388,2,2,0,0,0,0,0,0,1,1
11389,1,0,0,0,0,0,0,0,0,1
11390,12,12,0,0,0,6,0,0,3,3
11391,1,1,0,0,0,0,0,0,0,1
11392,6,4,0,0,0,2,0,1,1,2
11393,20,16,1,0,0,8,2,2,6,2
11394,4,4,0,0,0,3,0,0,0,1
11395,2,2,0,0,0,1,0,0,0,1
11396,13,12,0,0,0,4,3,1,3,2
11397,165,128,17,6,0,9,7,27,99,23
11398,9,6,1,0,0,3,1,1,2,2
11399,1,1,0,0,0,0,0,0,0,1
11400,3,3,0,0,0,1,0,0,0,2
11401,27,20,4,0,0,5,2,1,14,5
11402,1,1,0,0,0,0,0,0,0,1
11404,11,5,2,0,0,4,0,3,2,2
11405,12,10,0,0,0,2,1,1,5,3
11406,3,3,0,0,0,0,0,1,1,1
11407,9,8,0,0,0,2,0,2,2,3
11408,11,8,1,0,0,1,0,1,6,3
11409,3,3,0,0,0,0,0,1,1,1
11410,17,11,4,1,0,3,3,2,5,4
11411,1,1,0,0,0,0,0,0,0,1
11412,1,1,0,0,0,0,0,0,0,1
11413,7,7,0,0,0,0,0,2,3,2
11414,2,2,0,0,0,1,0,0,0,1
11415,5,4,0,0,0,4,0,0,0,1
11416,3,3,0,0,0,0,1,0,1,1
11417,6,4,1,0,0,3,0,1,1,1
11418,29,27,1,0,0,10,2,2,11,4
11419,1,1,0,0,0,0,0,0,0,1
11420,5,5,0,0,0,0,2,0,2,1
11421,5,3,0,0,0,0,0,2,2,1
11422,5,3,1,0,0,0,1,0,3,1
11423,2,2,0,0,0,0,0,0,1,1
11424,0,0,0,0,0,0,0,0,0,0
11425,33,28,2,0,0,3,1,10,15,4
11426,22,18,1,0,0,1,3,4,11,3
11427,14,13,0,0,0,7,0,0,5,2
11428,8,7,0,0,0,1,1,2,2,2
