CODGEO,mean_salary,mean_salary_male,mean_salary_female,mean_salary_executive,mean_salary_executive_female,mean_salary_executive_male,mean_salary_middlemanagement,mean_salary_middlemanagement_female,mean_salary_middlemanagement_male,mean_salary_employee,mean_salary_employee_female,mean_salary_employee_male,mean_salary_worker,mean_salary_worker_female,mean_salary_worker_male,mean_salary_youngage,mean_salary_youngage_female,mean_salary_youngage_male,mean_salary_mediumage,mean_salary_mediumage_female,mean_salary_mediumage_male,mean_salary_oldage,mean_salary_oldage_female,mean_salary_oldage_male
01004,15.0131320592949,16.2021966821153,13.043694868052,25.2219385705337,21.8065799535484,26.6933450702787,16.9503952290049,14.3681300076341,18.2744083579421,11.2592092797497,11.0455183871145,11.7614112902933,11.7726660165518,10.7638041006839,12.0956723026409,10.8803146630726,10.29129681737,11.286232013768,15.0727111880743,13.2344008764081,16.1306199955321,17.2557471461375,14.1920275105439,19.2265401357582
01007,15.2613328150537,16.4064884888232,13.8558984101013,24.3916709443832,21.5325867245644,25.8322016673629,16.1790520861501,15.1602463369706,17.0702317629997,11.9170583504026,11.9513408341695,11.7573408076987,12.5202210094236,11.4625990891285,12.8816100065773,10.5440727833133,10.6184283321589,10.4872205347863,15.2634870963653,14.0345256301704,16.2291870176132,16.9619516163741,14.4189873392921,19.3243020043297
01014,14.5787088667469,16.0558357792896,12.5708625709247,27.9400650469809,20.702967877872,31.4972506276447,16.3840557838119,13.1984292260708,18.0837148184969,12.1751413121253,12.1529765717843,12.2863405979457,11.8487870624107,10.9301536017465,12.3043871016174,11.0583249275945,10.2953067719656,11.6236600369021,14.1168606649024,12.2264304337779,15.5176594693975,16.5282218768796,13.9320778040847,18.4090241722534
01024,14.6581736117104,15.7367941194379,13.0537804262439,23.8172747450459,20.1576740516404,25.8489744459356,16.3192955196139,14.9235918151557,17.1220153676508,11.9055465705966,11.414434761978,13.8980107116766,12.1279129807912,10.2820001953311,12.5255171637987,10.4980725934171,10.0311126553979,10.8120155986426,14.6279823189908,13.2688330484512,15.5056634368141,16.4044949887793,13.691904618827,18.422798167485
01025,14.9529102891173,15.9545917998413,13.4446144895189,25.8220761856099,22.2711031010221,27.5194005425296,15.3654639416375,14.233353373059,16.338718508856,11.6637937398858,11.4109360229236,12.486409857612,12.4002968146212,11.1286218258889,12.6663897664576,10.3853961933715,10.3093739328097,10.4426075245637,14.7503723935883,13.5136081875846,15.5804331432061,16.8548597611582,14.3361430479421,18.4215325471984
01027,16.100865065067,17.5830461624114,14.1981294644859,23.9304029146156,21.6317756097627,24.7788440292284,16.9093043123776,15.7320700387166,17.9692284311911,12.4524912714904,11.939584230712,14.0822890629327,12.990450728006,11.3727370728429,13.42713971646,10.7837095016761,10.1104896968425,11.1805965991545,16.2954368612953,14.4854170847792,17.6800145877034,17.6659804639093,14.6936324730642,20.3938109937105
01031,14.0386142342445,15.1181237830155,12.4761886046785,27.5240983647396,22.1207788918725,29.4593221230723,15.081495083206,13.8315213586041,15.7456726312107,11.4745739349452,11.4853230627564,11.4442518653703,11.759778160562,11.1730489309862,12.0460505456059,10.4160433218415,10.1620631648808,10.5860932473041,13.7091387033398,12.221783121515,14.6635220086047,16.2349136429799,13.7969898924883,18.2430168716395
01032,15.7160712827484,16.7621733872493,14.377598216056,24.6802421906916,22.4530286450034,26.2422328827708,16.631047165755,15.1145897512029,17.6583911652993,12.4243954942089,12.1971582551444,13.1494074644342,12.42456287876,10.7889520841155,12.9711283646779,10.7388523037154,10.6572059366725,10.796743407972,15.4556374544963,14.3170120102857,16.3574130704991,19.0458652481172,16.372294663439,21.1638003209
01033,13.2069019566549,14.1090191520023,12.0208685407919,21.61576686356,19.4543331298529,22.536423905862,15.1994460320715,14.0603119553248,16.2460139141487,11.2618235453948,11.1452401151672,11.5737278218112,11.8518044995766,10.0805292697762,12.4057454732179,10.7803801691885,10.3847199549789,11.1282966985278,13.2991005140743,12.2678690215567,14.0983605208455,14.3102069931003,12.469578804029,15.5527035612809
01034,13.5075961392066,14.207384293021,12.4645774680747,24.2525569013509,21.1297873650356,25.527970983202,15.2156427888192,14.59538211518,15.6390192224154,11.0201945498117,11.0068781042837,11.0600561465289,11.3928313345605,10.827880811919,11.5927842918117,10.3722758227566,10.1897457336752,10.5078977431841,13.4580460628542,12.5048635179874,14.0721822718132,15.0196451321101,13.452105442968,16.1087298235901
01043,20.3563408986122,21.7919207325849,18.4656338123042,30.1322733156743,27.719103271779,31.7011170441038,17.5340850547495,16.2018248150854,18.4966279675447,12.7294503360809,12.7866191359108,12.5574953399575,13.1584963591651,11.3832949447085,13.5860868484199,10.7711249248982,10.1136311167568,11.1476125549822,20.1704594751217,19.2915799783353,20.8657524642756,23.7273376539336,18.8749070379576,27.4069805861596
01049,17.5451617570096,18.9915010052378,15.4427693854885,27.8842010454032,25.1022716568698,29.2700014465197,16.6949445108819,14.8435686918716,17.9548780704013,12.1491189154807,11.9565988127745,12.7800412288566,12.5497215166468,11.4664744966226,12.8002354532019,10.5649496408974,10.1260201797802,10.8741203288221,17.3809188493033,15.730586165958,18.5106493860539,20.661988450544,16.7685896401872,23.3506591714261
01053,13.6297279981246,14.2595415128826,12.7305690793135,24.300549828016,21.9177493291524,25.6196243515979,15.0897431551513,14.1994512439201,15.9464050290184,11.1660365478301,11.002480666189,11.5259456983917,11.1938105631268,9.76810042934812,11.5438857305635,10.5313047732271,10.191961291304,10.7848611369551,13.594967037371,12.7890474972107,14.1125520302069,15.3272432470883,13.8726607823293,16.5224879604974
01071,15.2992349039926,16.5681611429269,13.8629147775542,27.1869036425387,22.2647916591995,31.6897478568809,16.160345979494,15.4115719931172,16.885565237877,12.041882138703,11.7755103003422,12.6565586402451,13.9665898333505,11.4914170519775,14.1999161969545,10.7049064674657,10.4208499347787,10.9169748909103,14.9515007417008,13.8542322636745,15.9629540297081,19.155206920977,15.8791887188609,22.0161765958154
01072,16.5208834583359,18.0229293276461,14.5724936123731,28.0209629441815,24.3855677700698,29.9774899510961,16.2955185307975,14.9528712755518,17.5365487618366,11.8299705320715,11.5323106053577,12.9510307742096,12.282920313392,10.7394163892082,12.6933153435109,10.7078008626912,10.1772624977675,11.1300511716121,15.6867437998959,14.2182581452993,16.7829555884265,19.9653763280264,16.5115495317292,22.7963232809019
01074,15.4228737211877,16.8963943060592,13.2187204821579,26.5344493433563,23.0082691392043,28.0880414253464,16.0473720564106,14.3032570252348,17.3155064236096,11.79621954077,10.9269772384003,14.3144015897151,12.2693807787922,10.4757168363557,12.7709152691882,10.7005508331167,10.4241437393519,10.9299045870429,15.28733542151,13.7014703232789,16.3309514612267,17.9085812223621,13.2018489756489,20.8989039658425
01089,14.8896683147617,16.1981305916135,13.0246032026165,24.3101984499391,20.20006431368,25.5597548325885,16.2205896321766,14.8333846956049,17.3027794917139,11.7618522355968,11.6513513188724,12.2198992434043,12.5676352161,11.3207715975342,12.9324769388919,10.7348742042022,10.7056873929636,10.7493425660064,15.0933894617495,13.295541310797,16.5092149180346,15.8993022687546,12.9398667832139,17.6163441124696
01093,14.8134962778517,15.9544931151884,13.2640502266296,24.4654800563098,21.0910273554145,25.7561285167028,15.9044904877297,14.9708577621311,16.6404709428792,11.408336912756,11.3567066166638,11.5801983210728,12.5128384262175,11.9061600632573,12.7022602328096,10.7871243189484,10.1984189453113,11.227451963762,14.6962052263066,13.3359350344326,15.6354653382456,16.9514851929054,14.4735880166091,19.0276212360932
01103,15.2074078863811,15.6409220263097,14.7191198693054,25.4698978682638,22.996701768881,27.8384639743307,16.1630017130699,14.4418771301004,17.577637722339,12.5903519301352,13.0176064087514,11.6554846558818,12.5015482017089,10.4421095566863,12.6513822713387,11.4749682873491,11.8333216141923,11.1932316242341,16.0593528241782,15.7998167916997,16.3091945722333,14.6222990358764,12.2260731883866,16.3484265928321
01109,13.6582912064045,14.6927954988256,12.6312299146673,25.0499442630893,30.7113569598285,22.9506846085823,14.383204521475,12.8231067909666,16.5590543604211,11.1707060834965,11.1328658664196,11.3083597352829,12.4241428153164,9.98816310045414,12.610913131266,10.7313860073766,9.6157931435769,11.8690883066927,14.2159095714988,13.5318985188789,14.9427912844661,14.450933116879,12.2713783061459,16.2682602254133
01130,13.9234243312343,14.6190872775456,12.8433993341312,22.2475110157166,20.4179249773588,23.1225892545878,15.8259662614445,14.3068568219652,17.0726330549148,11.7434985267371,11.4633494087162,12.8152087481933,12.2675013417218,10.9185639993365,12.4853640943653,10.3608594774885,10.0495749907594,10.561229314633,14.3995306892646,13.1546752374123,15.1888203514886,14.1598860449024,13.2027672486336,14.804533979355
01135,15.3341705675588,16.8108985471199,13.6085231848683,24.2783081643127,18.3999151917781,28.2834808410221,17.6106879622468,14.4312281410322,20.1005280489776,12.5435992609349,12.3470137951993,12.9097938657769,11.9016626842221,12.5435913091694,11.8081831575042,11.2679601039518,10.4047415869171,12.4319382139618,15.5197691965072,13.9854274586714,16.6026440802283,18.1432689861967,15.5256575605551,21.1089207142734
01138,13.9564217574374,14.9492010571475,12.3301135879249,25.0335111704361,22.2095414100096,25.9093006744178,15.3589340890511,14.9539769017794,15.5937227370212,11.3350044580095,10.9689285180257,12.2624449213278,12.9307555925012,11.2272894366892,13.4274539644489,10.5949354333918,9.61786169203435,11.3753285003141,13.7255037912194,12.6334595764515,14.3278452568519,15.4951656753507,12.8130216935423,17.2970649521161
01142,16.1998229128151,17.3345713360075,14.6516047749534,25.1076110108155,22.273370021959,26.5902710832514,16.4979872780854,15.4878685859007,17.3372460992675,12.6645321550477,12.4425234565124,13.3351257883689,12.6840640957676,10.7008155882599,13.1797176525194,10.5131449254682,10.1656487438363,10.7514872674624,16.274214192616,15.1128624674645,17.1229379728748,17.9110646160268,15.0084162753161,20.100120459314
01143,18.7623763292383,21.2633314032273,15.9006135538016,36.7076048514888,28.5653180389879,41.8311072553032,15.528738914154,14.8375017896804,16.3262874327528,11.9340870037053,11.8614650824754,12.0400911404292,12.2523649846059,11.947045306529,12.3219179975856,10.6438695152292,10.3976932474522,10.9170776878457,18.3568234411869,16.3544500818619,20.1605718894567,23.7923210536134,18.4631356518131,27.6560996183191
01153,19.1738210359846,20.9734820831562,16.7348093683297,33.3568119329806,27.9280476993707,35.6610011854951,18.2489663273262,16.7884148969764,20.2564724328555,12.4307695866925,12.5361678522553,12.2470649945107,12.5972306286873,18.2995772164831,11.8196657200843,10.0543898003873,9.80034300688595,10.2273685184804,21.8405943281913,17.4837320226309,25.2556676149691,19.0092541587629,19.1657509128855,18.9027143114971
01157,17.3998708055379,19.8316356648298,14.0654806668357,27.7439208339558,21.7506034449726,29.8971178683943,16.9385525059641,15.1453643498095,18.550940925083,11.8724486933866,11.3145900749275,13.8225119135435,12.3155053943527,10.6974196593402,12.7187367124883,10.6091254284711,10.3895293690339,10.8001885721813,17.0951393760361,14.3198285229601,19.0216344175993,20.4507149897661,14.8535857656862,24.759614631391
01159,14.2565357627209,15.1653694535253,12.8844352167061,25.5320509751224,22.6269197561239,26.4801647841685,14.9029222849239,14.0779213695754,15.6616746717817,11.8206428857708,11.6133819807076,12.394899473701,11.8816386326134,10.575777398145,12.2015695725297,10.5371657605024,10.192946640191,10.7080109024423,14.5062569535058,13.1165403269293,15.4750348529208,15.3912277972754,13.3638518709851,16.7490137058058
01160,13.2667410373033,14.1003461301476,12.1347618338929,26.3761688633757,22.1115608779057,28.2927420032221,15.8425501388451,13.8169012863033,17.9489830769688,10.9256253635105,10.8600324721755,10.9937206099229,11.2222179314594,10.2828305971287,11.4787335954897,10.4078445176391,10.4240282486632,10.3940328384281,13.1154345342339,11.6259255533743,14.1873694752585,15.1782200664523,14.3443668851223,15.7750838142678
01163,13.8811604936354,14.5341690230593,12.8912358501389,23.2029290993068,19.2802406860016,25.8756775232379,15.6296591045649,14.3100598722962,17.1624868797847,11.2895611315341,11.2994975131464,11.2392934050554,12.1270652361358,10.6288579061389,12.3728064135415,10.3538779880492,10.0557950443854,10.5027832362058,13.8669597835575,13.1973542376482,14.3299731383122,15.2119223833885,13.1271195052329,16.5910599599136
01166,16.331062834739,17.6947350626986,14.4330628766352,25.826650909069,24.7746607598083,26.2414510573432,16.3541777949873,14.9442674291058,17.3997855956375,11.9498664564559,11.6820285081311,12.9451690817918,12.3969728343956,10.8022717393339,12.7501950381956,10.6286789064731,10.360921047898,10.77666636612,16.1490924322258,15.1064275633973,16.8632812359879,18.4849600867873,14.2180883977327,22.1334776537962
01173,14.1169634434756,14.9328403823895,13.2112389167887,25.0784917209625,21.3021433548724,27.5651539909793,15.2715458196621,14.9470707530985,15.7718829438872,11.459275354774,11.486814937917,11.4111473442555,12.6218347242226,10.5610897082495,12.9297992136692,10.7183211833713,10.6272249085928,10.8297988251127,14.3765025223392,13.5527153287314,15.0541063177344,15.6450745811828,14.2688442401087,16.9451921638675
01185,13.2099698743124,13.4306500501433,12.8776750619422,26.1712282382403,27.0078741915718,25.8478905115279,15.4033464596614,15.3659414453262,15.4425065246431,10.7674546315795,10.7825038087685,10.735369043117,11.2078173938942,9.13013407158558,11.41460881534,10.5544877325395,10.9239225774811,10.2868832760764,12.9764670291408,12.9118656487134,13.0159721701969,14.7612931436227,13.6227140910289,15.6111281765109
01192,14.6230456656556,15.9877174577744,12.6482334746203,23.6059955235519,18.995081504845,25.3602402857444,15.8826898323421,14.5118108875793,16.7328363837992,11.9220394634803,11.9553050535459,11.7763047749975,12.3025216388384,10.7126889100262,13.0791261450017,10.8394209150008,10.7355865231,10.8878250316048,14.8563905765958,12.8854993197155,16.411685672156,15.4144770524542,12.6711763363082,17.0978540276321
01194,15.4916266842676,16.6519344204005,13.8379546309081,25.1852819420244,21.8063868051346,26.5275584379347,16.2503907612107,14.9942921433284,17.3641326990794,12.1053857333035,11.8752220248576,12.8213595507137,12.2126940808354,11.2055347214416,12.4359363577334,10.6491921569213,10.5471577474445,10.7267967625891,15.5205071623438,14.083412352136,16.4921699905239,17.3858596746261,14.7058840546076,19.3511411331611
