CODGEO,mean_salary,mean_salary_executive,mean_salary_middlemanagement,mean_salary_employee,mean_salary_worker,mean_salary_youngage,mean_salary_mediumage,mean_salary_oldage,gender
01004,13.043694868052,21.8065799535484,14.3681300076341,11.0455183871145,10.7638041006839,10.29129681737,13.2344008764081,14.1920275105439,2
01004,16.2021966821153,26.6933450702787,18.2744083579421,11.7614112902933,12.0956723026409,11.286232013768,16.1306199955321,19.2265401357582,1
01007,16.4064884888232,25.8322016673629,17.0702317629997,11.7573408076987,12.8816100065773,10.4872205347863,16.2291870176132,19.3243020043297,1
01007,13.8558984101013,21.5325867245644,15.1602463369706,11.9513408341695,11.4625990891285,10.6184283321589,14.0345256301704,14.4189873392921,2
01014,12.5708625709247,20.702967877872,13.1984292260708,12.1529765717843,10.9301536017465,10.2953067719656,12.2264304337779,13.9320778040847,2
01014,16.0558357792896,31.4972506276447,18.0837148184969,12.2863405979457,12.3043871016174,11.6236600369021,15.5176594693975,18.4090241722534,1
01024,13.0537804262439,20.1576740516404,14.9235918151557,11.414434761978,10.2820001953311,10.0311126553979,13.2688330484512,13.691904618827,2
01024,15.7367941194379,25.8489744459356,17.1220153676508,13.8980107116766,12.5255171637987,10.8120155986426,15.5056634368141,18.422798167485,1
01025,15.9545917998413,27.5194005425296,16.338718508856,12.486409857612,12.6663897664576,10.4426075245637,15.5804331432061,18.4215325471984,1
01025,13.4446144895189,22.2711031010221,14.233353373059,11.4109360229236,11.1286218258889,10.3093739328097,13.5136081875846,14.3361430479421,2
01027,17.5830461624114,24.7788440292284,17.9692284311911,14.0822890629327,13.42713971646,11.1805965991545,17.6800145877034,20.3938109937105,1
01027,14.1981294644859,21.6317756097627,15.7320700387166,11.939584230712,11.3727370728429,10.1104896968425,14.4854170847792,14.6936324730642,2
01031,15.1181237830155,29.4593221230723,15.7456726312107,11.4442518653703,12.0460505456059,10.5860932473041,14.6635220086047,18.2430168716395,1
01031,12.4761886046785,22.1207788918725,13.8315213586041,11.4853230627564,11.1730489309862,10.1620631648808,12.221783121515,13.7969898924883,2
01032,16.7621733872493,26.2422328827708,17.6583911652993,13.1494074644342,12.9711283646779,10.796743407972,16.3574130704991,21.1638003209,1
01032,14.377598216056,22.4530286450034,15.1145897512029,12.1971582551444,10.7889520841155,10.6572059366725,14.3170120102857,16.372294663439,2
01033,14.1090191520023,22.536423905862,16.2460139141487,11.5737278218112,12.4057454732179,11.1282966985278,14.0983605208455,15.5527035612809,1
01033,12.0208685407919,19.4543331298529,14.0603119553248,11.1452401151672,10.0805292697762,10.3847199549789,12.2678690215567,12.469578804029,2
01034,12.4645774680747,21.1297873650356,14.59538211518,11.0068781042837,10.827880811919,10.1897457336752,12.5048635179874,13.452105442968,2
01034,14.207384293021,25.527970983202,15.6390192224154,11.0600561465289,11.5927842918117,10.5078977431841,14.0721822718132,16.1087298235901,1
01043,18.4656338123042,27.719103271779,16.2018248150854,12.7866191359108,11.3832949447085,10.1136311167568,19.2915799783353,18.8749070379576,2
01043,21.7919207325849,31.7011170441038,18.4966279675447,12.5574953399575,13.5860868484199,11.1476125549822,20.8657524642756,27.4069805861596,1
01049,15.4427693854885,25.1022716568698,14.8435686918716,11.9565988127745,11.4664744966226,10.1260201797802,15.730586165958,16.7685896401872,2
01049,18.9915010052378,29.2700014465197,17.9548780704013,12.7800412288566,12.8002354532019,10.8741203288221,18.5106493860539,23.3506591714261,1
01053,12.7305690793135,21.9177493291524,14.1994512439201,11.002480666189,9.76810042934812,10.191961291304,12.7890474972107,13.8726607823293,2
01053,14.2595415128826,25.6196243515979,15.9464050290184,11.5259456983917,11.5438857305635,10.7848611369551,14.1125520302069,16.5224879604974,1
